,1,2,Unit,Unit%
Jaguars,0.5,0.5,Unsure,Unsure
Jets,0.3462,0.6538,2,SL
49ers,0.4286,0.5714,Unsure,Unsure
Falcons,0.55,0.45,Unsure,Unsure
Bengals,0.6364,0.3636,1,SL
Dolphins,0.55,0.45,Unsure,Unsure
Lions,0.75,0.25,1,L
Panthers,0.4,0.6,2,SL
Broncos,0.5238,0.4762,Unsure,Unsure
Cowboys,0.3889,0.6111,2,SL
Giants,0.5455,0.4545,Unsure,Unsure
Eagles,0.5,0.5,Unsure,Unsure
Chargers,0.3636,0.6364,2,SL
Vikings,0.5,0.5,Unsure,Unsure
Patriots,0.4444,0.5556,Unsure,Unsure
Cardinals,0.5455,0.4545,Unsure,Unsure
Raiders,0.375,0.625,2,SL
Dolphins,0.55,0.45,Unsure,Unsure
Football Team,,,,
Bears,0.5882,0.4118,Unsure,Unsure
Colts,0.625,0.375,1,SL
Titans,0.55,0.45,Unsure,Unsure
Jets,0.3462,0.6538,2,SL
Steelers,0.4,0.6,2,SL
Jaguars,0.5,0.5,Unsure,Unsure
Browns,0.5769,0.4231,Unsure,Unsure
Ravens,0.619,0.381,1,SL
Saints,0.4545,0.5455,Unsure,Unsure
Packers,0.2857,0.7143,2,L
Bills,0.4545,0.5455,Unsure,Unsure
Ravens,0.619,0.381,1,SL
Buccaneers,0.5556,0.4444,Unsure,Unsure
