ID,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
32,1,225.0,4.3,239.0,283.0,495.0,2523.0,15.0,18.0,4.6,355.0,1342.0,9.0,3.8,76.0,19.3,20.6,1.09,425.0,5.4,16.0,357.0,342.0,3262.0,21.0,7.0,5.9,510.0,2479.0,25.0,4.9,139.0,38.0,30.6,2.12,32.0,32.0,32.0,29.0,32.0,30.0,28.0,32.0,28.0,32.0,27.0,32.0,32.0,32.0,32.0,26.0,20.0,28.0,28.0,4.0,3.0,29.0,6.0,32.0,32.0,32.0,27.0,13.0,10.0,22.0
33,2,342.0,5.8,344.0,331.0,532.0,3867.0,26.0,20.0,6.7,423.0,1902.0,7.0,4.5,98.0,37.0,31.8,1.86,435.0,5.4,7.0,337.0,344.0,3732.0,35.0,2.0,6.4,444.0,1814.0,13.0,4.1,104.0,39.8,30.5,2.25,21.0,16.0,12.0,20.0,15.0,17.0,30.0,11.0,11.0,13.0,30.0,12.0,15.0,16.0,20.0,28.0,13.0,32.0,23.0,11.0,31.0,32.0,14.0,25.0,14.0,15.0,7.0,8.0,9.0,26.0
34,3,333.0,4.9,258.0,299.0,524.0,3165.0,18.0,19.0,5.6,410.0,1622.0,11.0,4.0,84.0,32.0,24.2,1.57,441.0,5.7,20.0,343.0,367.0,4065.0,29.0,13.0,6.5,440.0,2021.0,16.0,4.6,104.0,39.1,30.1,2.08,23.0,29.0,30.0,22.0,25.0,26.0,29.0,28.0,16.0,26.0,23.0,29.0,24.0,31.0,29.0,29.0,25.0,16.0,24.0,24.0,19.0,15.0,19.0,22.0,26.0,21.0,19.0,9.0,8.0,19.0
35,4,290.0,5.4,300.0,382.0,556.0,3751.0,19.0,10.0,6.2,387.0,1628.0,9.0,4.2,86.0,31.3,30.5,1.57,467.0,6.3,17.0,317.0,299.0,3853.0,36.0,14.0,7.8,480.0,2249.0,16.0,4.7,108.0,44.3,35.1,2.52,28.0,23.0,24.0,16.0,18.0,24.0,8.0,19.0,23.0,25.0,27.0,23.0,26.0,19.0,28.0,32.0,26.0,22.0,14.0,19.0,32.0,14.0,32.0,30.0,30.0,21.0,22.0,2.0,29.0,32.0
36,5,396.0,6.3,388.0,408.0,625.0,5125.0,36.0,26.0,7.7,389.0,1523.0,11.0,3.9,80.0,37.0,36.0,2.15,464.0,6.1,17.0,356.0,387.0,4151.0,34.0,9.0,7.3,426.0,1983.0,19.0,4.7,122.0,40.7,33.7,2.38,12.0,3.0,2.0,4.0,1.0,3.0,32.0,2.0,22.0,29.0,23.0,31.0,17.0,5.0,10.0,31.0,27.0,22.0,27.0,26.0,30.0,26.0,30.0,18.0,24.0,29.0,20.0,6.0,26.0,29.0
37,6,369.0,5.8,297.0,382.0,583.0,4047.0,23.0,12.0,6.4,354.0,1650.0,13.0,4.7,71.0,38.4,32.2,1.97,412.0,5.7,21.0,346.0,362.0,4044.0,24.0,16.0,6.9,444.0,1898.0,18.0,4.3,103.0,40.9,32.7,2.18,16.0,17.0,25.0,9.0,11.0,21.0,12.0,17.0,29.0,24.0,16.0,10.0,12.0,15.0,18.0,23.0,24.0,15.0,25.0,23.0,13.0,7.0,27.0,25.0,20.0,28.0,11.0,4.0,22.0,24.0
38,7,245.0,4.8,277.0,329.0,536.0,3109.0,15.0,13.0,5.3,416.0,1723.0,7.0,4.1,92.0,25.0,26.9,1.24,316.0,5.1,17.0,288.0,312.0,3113.0,17.0,11.0,5.8,434.0,1870.0,16.0,4.3,89.0,33.1,27.5,1.72,31.0,27.0,29.0,19.0,26.0,30.0,18.0,30.0,12.0,19.0,30.0,26.0,31.0,28.0,31.0,4.0,5.0,22.0,3.0,2.0,2.0,23.0,5.0,21.0,19.0,21.0,14.0,27.0,5.0,6.0
39,8,324.0,5.1,325.0,375.0,574.0,3576.0,22.0,12.0,5.8,404.0,1660.0,11.0,4.1,91.0,35.3,30.3,1.82,360.0,5.7,14.0,315.0,323.0,3599.0,29.0,7.0,6.7,403.0,1761.0,11.0,4.4,88.0,34.5,31.3,1.97,25.0,24.0,18.0,11.0,20.0,22.0,12.0,25.0,18.0,23.0,23.0,28.0,21.0,20.0,21.0,16.0,10.0,31.0,11.0,8.0,19.0,29.0,25.0,13.0,10.0,6.0,16.0,21.0,15.0,17.0
40,9,269.0,4.7,283.0,271.0,499.0,2794.0,13.0,23.0,5.2,468.0,1984.0,15.0,4.2,108.0,26.4,24.6,1.39,374.0,4.9,27.0,293.0,313.0,2867.0,22.0,16.0,5.4,440.0,1839.0,17.0,4.2,111.0,33.3,24.8,1.83,30.0,30.0,27.0,28.0,31.0,32.0,31.0,31.0,6.0,9.0,11.0,21.0,30.0,30.0,30.0,18.0,2.0,8.0,4.0,1.0,8.0,7.0,3.0,22.0,16.0,25.0,10.0,26.0,1.0,10.0
41,10,428.0,6.1,378.0,459.0,689.0,5008.0,35.0,17.0,7.0,345.0,1445.0,16.0,4.2,88.0,36.8,35.5,2.23,360.0,5.3,15.0,317.0,362.0,3697.0,27.0,8.0,6.0,369.0,1538.0,13.0,4.2,84.0,33.7,28.4,1.88,6.0,4.0,4.0,1.0,2.0,5.0,26.0,8.0,31.0,31.0,7.0,24.0,18.0,6.0,9.0,16.0,6.0,29.0,14.0,10.0,16.0,28.0,7.0,7.0,6.0,15.0,9.0,25.0,6.0,14.0
42,11,368.0,5.3,304.0,331.0,542.0,3290.0,27.0,13.0,5.7,359.0,1682.0,13.0,4.7,92.0,35.5,29.7,2.03,455.0,6.1,18.0,372.0,389.0,4414.0,32.0,12.0,7.1,466.0,2204.0,17.0,4.7,125.0,46.3,37.4,2.5,17.0,26.0,23.0,18.0,24.0,16.0,18.0,27.0,26.0,21.0,16.0,8.0,20.0,24.0,16.0,30.0,32.0,21.0,29.0,32.0,27.0,18.0,29.0,29.0,29.0,25.0,25.0,1.0,32.0,31.0
