ID,Pick Number,Team PF,Team TO,Team Att,Team Yds.1,Team TD,Team Int,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Opp. PF,Opp. TO,Opp. Att,Opp. Yds.1,Opp. TD,Opp. Int,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Off. Rank PF,Off. Rank Yds.1,Off. Rank TO,Off. Rank Att,Def. Rank PF,Def. Rank Yds.1,Def. Rank TO,Def. Rank Att
32,1,279.0,30.0,616.0,3652.0,18.0,16.0,385.0,1517.0,9.0,3.9,85.0,420.0,16.0,499.0,3917.0,25.0,11.0,504.0,2382.0,17.0,4.7,124.0,30.0,19.0,27.0,6.0,25.0,21.0,28.0,2.0
33,2,266.0,21.0,479.0,2812.0,18.0,13.0,356.0,1583.0,9.0,4.4,74.0,435.0,22.0,540.0,3823.0,35.0,13.0,493.0,2339.0,14.0,4.7,120.0,32.0,32.0,16.0,28.0,27.0,18.0,15.0,11.0
34,3,341.0,23.0,571.0,3900.0,28.0,15.0,407.0,1649.0,7.0,4.1,82.0,423.0,18.0,611.0,4551.0,33.0,7.0,455.0,1855.0,13.0,4.1,94.0,18.0,10.0,19.0,17.0,26.0,32.0,24.0,31.0
35,4,341.0,33.0,607.0,3731.0,30.0,17.0,362.0,1685.0,11.0,4.7,89.0,451.0,16.0,556.0,4225.0,30.0,10.0,469.0,1812.0,19.0,3.9,100.0,18.0,18.0,30.0,9.0,30.0,28.0,28.0,17.0
36,5,306.0,26.0,615.0,3804.0,22.0,18.0,349.0,1156.0,10.0,3.3,64.0,494.0,16.0,545.0,4198.0,39.0,13.0,485.0,2166.0,15.0,4.5,113.0,25.0,12.0,25.0,7.0,32.0,26.0,28.0,14.0
37,6,337.0,31.0,597.0,4426.0,24.0,20.0,366.0,1453.0,12.0,4.0,90.0,345.0,14.0,464.0,3204.0,21.0,11.0,429.0,1805.0,15.0,4.2,101.0,21.0,6.0,29.0,10.0,14.0,5.0,32.0,1.0
38,7,340.0,35.0,633.0,3650.0,17.0,21.0,386.0,1819.0,20.0,4.7,82.0,470.0,21.0,544.0,3696.0,21.0,14.0,445.0,2296.0,31.0,5.2,128.0,20.0,20.0,31.0,2.0,31.0,13.0,17.0,12.0
39,8,361.0,18.0,554.0,3477.0,20.0,12.0,396.0,1990.0,18.0,5.0,109.0,442.0,17.0,601.0,4510.0,38.0,7.0,439.0,1922.0,9.0,4.4,94.0,16.0,24.0,9.0,18.0,28.0,31.0,25.0,28.0
40,9,300.0,20.0,589.0,3760.0,24.0,8.0,389.0,1708.0,3.0,4.4,85.0,397.0,19.0,517.0,3778.0,22.0,10.0,435.0,2229.0,23.0,5.1,114.0,26.0,16.0,13.0,12.0,21.0,16.0,22.0,5.0
41,10,335.0,28.0,539.0,3554.0,22.0,21.0,393.0,1901.0,15.0,4.8,90.0,393.0,20.0,513.0,3470.0,25.0,14.0,463.0,2315.0,19.0,5.0,124.0,22.0,22.0,26.0,19.0,20.0,7.0,19.0,3.0
