RndmForest OFF%,RndmForest DEF%,RndmForest,DecisTree OFF%,DecisTree DEF%,DecisTree,SVC OFF%,SVC DEF%,SVC,LogReg OFF%,LogReg DEF%,LogReg,SGD OFF%,SGD DEF%,SGD,KNN10 OFF%,KNN10 DEF%,KNN10,KNN19 OFF%,KNN19 DEF%,KNN19,KNN32 OFF%,KNN32 DEF%,KNN32,NaiveBayes OFF%,NaiveBayes DEF%,NaiveBayes
0.52,0.48,1,0.0,1.0,2,0.5100198779280971,0.4899801220719028,1,0.48443191692439336,0.5155680830756066,2,0.4872397933560052,0.5127602066439948,2,0.5,0.5,1,0.631578947368421,0.3684210526315789,1,0.53125,0.46875,1,0.927742108246289,0.07225789175369726,1
0.5,0.5,1,0.0,1.0,2,0.47761355542919937,0.5223864445708006,2,0.6587498242240448,0.3412501757759551,1,0.4840987807236855,0.5159012192763145,2,0.6,0.4,1,0.631578947368421,0.3684210526315789,1,0.59375,0.40625,1,0.9916925599579722,0.00830744004203741,1
0.5,0.5,1,0.0,1.0,2,0.45246736912909274,0.5475326308709072,2,0.4718607187075192,0.5281392812924808,2,0.5024099420995451,0.49759005790045485,1,0.3,0.7,2,0.42105263157894735,0.5789473684210527,2,0.46875,0.53125,2,0.27778902211974876,0.722210977880241,2
0.4,0.6,2,1.0,0.0,1,0.44377691981186673,0.5562230801881332,2,0.2689591891901688,0.7310408108098312,2,0.476506492062202,0.523493507937798,2,0.4,0.6,2,0.3684210526315789,0.631578947368421,2,0.34375,0.65625,2,7.75145737230947e-06,0.9999922485426406,2
0.53,0.47,1,0.0,1.0,2,0.5,0.5,1,0.6370545075746692,0.36294549242533086,1,0.5045919472757642,0.4954080527242358,1,0.5,0.5,1,0.5263157894736842,0.47368421052631576,1,0.5625,0.4375,1,0.934191522667951,0.06580847733204678,1
0.57,0.43,1,1.0,0.0,1,0.5237984751835624,0.4762015248164377,1,0.4504997163439388,0.5495002836560612,2,0.4946645265732331,0.5053354734267668,2,0.8,0.2,1,0.7368421052631579,0.2631578947368421,1,0.6875,0.3125,1,0.08220983967839866,0.9177901603216044,2
0.46,0.54,2,1.0,0.0,1,0.47465042952705916,0.5253495704729408,2,0.561305566441229,0.4386944335587711,1,0.49233269675951047,0.5076673032404896,2,0.6,0.4,1,0.47368421052631576,0.5263157894736842,2,0.40625,0.59375,2,0.0024119024859774016,0.9975880975140248,2
0.48,0.52,2,0.0,1.0,2,0.4668361187062731,0.5331638812937267,2,0.22028566054538712,0.7797143394546129,2,0.4830936220957752,0.5169063779042249,2,0.2,0.8,2,0.3157894736842105,0.6842105263157895,2,0.40625,0.59375,2,0.003943694311353399,0.9960563056886457,2
0.42,0.58,2,0.0,1.0,2,0.5067517048728875,0.4932482951271126,1,0.6824333695031914,0.3175666304968086,1,0.5195299435414708,0.48047005645852925,1,0.6,0.4,1,0.631578947368421,0.3684210526315789,1,0.5625,0.4375,1,0.9875672049889263,0.012432795011071349,1
0.46,0.54,2,0.0,1.0,2,0.4493817039093675,0.5506182960906324,2,0.23689024058430308,0.7631097594156969,2,0.47895311018753495,0.521046889812465,2,0.5,0.5,1,0.42105263157894735,0.5789473684210527,2,0.375,0.625,2,0.0049367587811286785,0.99506324121888,2
