Pick,KNN10,KNN19,KNN32,LogReg,RndmForest,Consensus
1,Unsure,1,Unsure,Unsure,Unsure,Unsure
2,1,1,Unsure,1,Unsure,1
3,2,Unsure,Unsure,Unsure,Unsure,Unsure
4,2,2,2,2,2,2
5,Unsure,Unsure,Unsure,1,Unsure,Unsure
6,1,1,1,Unsure,Unsure,1
7,1,Unsure,Unsure,Unsure,Unsure,Unsure
8,2,2,Unsure,2,Unsure,2
9,1,1,Unsure,1,Unsure,1
10,Unsure,Unsure,2,2,Unsure,Unsure
11,2,2,Unsure,1,Unsure,Unsure
12,1,1,Unsure,Unsure,Unsure,Unsure
13,Unsure,Unsure,Unsure,2,2,Unsure
14,2,2,2,2,2,2
15,2,Unsure,2,1,Unsure,Unsure
16,Unsure,Unsure,2,Unsure,Unsure,Unsure
17,2,2,2,2,2,2
18,1,1,1,Unsure,Unsure,1
19,1,1,1,1,Unsure,1
20,1,1,Unsure,1,Unsure,1
21,2,2,2,Unsure,Unsure,2
22,2,2,Unsure,2,2,2
23,1,1,Unsure,1,Unsure,1
24,1,1,Unsure,1,1,1
25,Unsure,1,Unsure,Unsure,Unsure,Unsure
26,2,2,2,Unsure,2,2
27,2,Unsure,2,2,Unsure,2
28,Unsure,Unsure,Unsure,2,Unsure,Unsure
29,1,Unsure,Unsure,2,Unsure,Unsure
30,2,2,2,Unsure,2,2
31,2,Unsure,2,2,Unsure,2
32,2,2,2,Unsure,Unsure,2
