Year,Round,Pick,Name,Team,Position,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
2020,1,1,Joe Burrow,Bengals,QB,279,5169,1049.0,4.9,30,14,312,356.0,616,3652,18,16,5.5,191.0,385,1517,9,3.9,85.0,93.0,761.0,36.0,181.0,29.8,15.5,Own 28.0,2:37,5.97,28.5,1.49,420,6299,1034.0,6.1,16,5,328,308.0,499,3917,25,11,7.4,183.0,504,2382,17,4.7,124.0,122.0,988.0,21.0,183.0,39.3,8.7,Own 27.8,2:43,5.8,34.4,2.1,30,26,27,28,24,6,19,28,23,27.0,25,25,26,24.0,27.0,5.0,20,19,12.0,24.0,28.0,25,29,28,30,17,2,21,17,22,31.0,32,32,27,25.0,9.0,27.0,12,18,15.0,28.0,22.0
2020,1,2,Chase Young,Redskins,DE,266,4395,885.0,5.0,21,8,248,298.0,479,2812,18,13,5.3,154.0,356,1583,9,4.4,74.0,106.0,835.0,20.0,176.0,29.5,11.9,Own 28.3,2:28,5.18,25.0,1.5,435,6162,1079.0,5.7,22,9,354,371.0,540,3823,35,13,6.5,200.0,493,2339,14,4.7,120.0,94.0,805.0,34.0,176.0,42.0,11.9,Own 31.9,3:01,6.3,34.9,2.38,32,31,16,11,32,28,32,28,18,30.0,31,22,26,13.0,28.0,11.0,17,31,31.0,30.0,29.0,27,27,15,14,28,11,18,30,12,21.0,31,31,17,26.0,4.0,15.0,31,31,29.0,29.0,30.0
2020,1,3,Jeff Okudah,Lions,DB,341,5549,1021.0,5.4,23,8,313,344.0,571,3900,28,15,6.4,196.0,407,1649,7,4.1,82.0,113.0,937.0,35.0,183.0,33.3,12.0,Own 28.6,2:33,5.75,30.3,1.77,423,6406,1094.0,5.9,18,11,365,381.0,611,4551,33,7,7.1,232.0,455,1855,13,4.1,94.0,117.0,960.0,39.0,181.0,40.3,8.8,Own 26.1,2:47,6.2,35.4,2.23,18,17,19,11,23,17,10,10,21,15.0,16,21,29,22.0,20.0,14.0,15,22,23.0,20.0,21.0,26,31,24,7,31,31,32,27,30,28.0,26,21,14,10.0,7.0,25.0,3,21,28.0,30.0,24.0
2020,1,4,Andrew Thomas,Giants,T,341,5416,1012.0,5.4,33,16,311,376.0,607,3731,30,17,5.7,187.0,362,1685,11,4.7,89.0,90.0,784.0,35.0,185.0,28.6,17.8,Own 26.9,2:29,5.56,29.2,1.75,451,6037,1061.0,5.7,16,6,343,369.0,556,4225,30,10,7.1,211.0,469,1812,19,3.9,100.0,117.0,922.0,32.0,186.0,39.8,8.6,Own 29.9,2:44,5.9,32.4,2.25,18,23,30,32,25,9,18,5,25,23.0,29,19,22,7.0,31.0,3.0,29,25,27.0,23.0,23.0,30,25,28,27,22,17,28,25,25,29.0,29,20,28,4.0,8.0,29.0,25,19,17.0,20.0,25.0
2020,1,5,Tua Tagovailoa,Dolphins,QB,306,4960,1022.0,4.9,26,8,315,371.0,615,3804,22,18,5.7,210.0,349,1156,10,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053.0,6.0,16,3,361,344.0,545,4198,39,13,7.4,214.0,485,2166,15,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,25,11,18,7,12,19,27,26.0,32,32,24,31.0,26.0,9.0,23,22,19.0,29.0,25.0,32,30,28,31,30,14,26,32,12,32.0,30,27,21,22.0,1.0,28.0,27,20,20.0,26.0,32.0
2020,1,6,Justin Herbert,Chargers,QB,337,5879,997.0,5.9,31,11,349,394.0,597,4426,24,20,7.0,220.0,366,1453,12,4.0,90.0,103.0,872.0,39.0,160.0,38.8,18.1,Own 26.3,3:05,6.44,36.6,2.06,345,5009,923.0,5.4,14,3,285,328.0,464,3204,21,11,6.5,156.0,429,1805,15,4.2,101.0,108.0,959.0,28.0,161.0,36.6,8.7,Own 29.5,2:56,5.9,31.1,1.99,21,10,29,22,7,10,6,17,29,8.0,28,28,20,23.0,8.0,2.0,31,2,3.0,4.0,11.0,14,6,32,31,3,1,5,8,22,20.0,21,18,21,15.0,15.0,32.0,23,29,21.0,15.0,18.0
2020,1,7,Derrick Brown,Panthers,DT,340,5469,1077.0,5.1,35,14,335,382.0,633,3650,17,21,5.3,230.0,386,1819,20,4.7,82.0,87.0,754.0,23.0,192.0,32.3,16.7,Own 29.0,2:25,5.77,28.5,1.74,470,5992,1042.0,5.8,21,7,355,347.0,544,3696,21,14,6.2,197.0,445,2296,31,5.2,128.0,109.0,940.0,30.0,197.0,40.1,10.2,Own 30.0,2:32,5.5,30.4,2.26,20,19,31,28,15,2,20,31,30,31.0,24,14,4,6.0,23.0,4.0,12,32,18.0,25.0,22.0,31,23,17,24,29,12,13,8,8,14.0,25,29,32,32.0,5.0,23.0,24,5,3.0,14.0,28.0
2020,1,8,Isaiah Simmons,Cardinals,LB,361,5467,1000.0,5.5,18,6,314,355.0,554,3477,20,12,5.8,176.0,396,1990,18,5.0,109.0,121.0,956.0,29.0,178.0,38.8,10.1,Own 27.7,2:29,5.81,30.6,2.02,442,6432,1080.0,6.0,17,10,375,421.0,601,4510,38,7,7.0,243.0,439,1922,9,4.4,94.0,114.0,1041.0,38.0,172.0,43.0,9.3,Own 27.5,3:04,6.5,37.4,2.38,16,21,9,2,20,18,24,25,15,22.0,19,10,7,2.0,9.0,24.0,21,27,17.0,19.0,14.0,28,32,25,10,32,28,31,31,30,27.0,23,24,5,20.0,3.0,22.0,7,32,31.0,32.0,29.0
2020,1,9,CJ Henderson,Jaguars,DB,300,5468,1020.0,5.4,20,12,298,364.0,589,3760,24,8,6.0,183.0,389,1708,3,4.4,85.0,132.0,1165.0,30.0,177.0,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63,397,6007,999.0,6.0,19,9,340,327.0,517,3778,22,10,6.7,193.0,435,2229,23,5.1,114.0,102.0,883.0,33.0,180.0,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,26,20,13,26,27,12,16,17,5,19.0,23,17,32,15.0,19.0,22.0,32,13,14.0,17.0,26.0,21,24,22,14,21,5,16,12,25,23.0,22,28,31,31.0,13.0,24.0,21,9,10.0,22.0,23.0
2020,1,10,Jedrick Wills,Browns,T,335,5455,973.0,5.6,28,7,305,318.0,539,3554,22,21,6.1,180.0,393,1901,15,4.8,90.0,122.0,1106.0,35.0,183.0,33.9,14.8,Own 29.3,2:36,5.48,29.7,1.83,393,5785,1014.0,5.7,20,6,345,318.0,513,3470,25,14,6.3,184.0,463,2315,19,5.0,124.0,107.0,836.0,37.0,182.0,36.8,11.0,Own 28.0,2:40,5.7,31.7,2.07,22,22,26,5,26,19,22,19,30,17.0,22,12,15,4.0,18.0,7.0,8,20,28.0,22.0,20.0,20,22,19,27,25,3,7,17,8,17.0,28,30,28,30.0,17.0,17.0,13,13,11.0,17.0,21.0
